btr_id,name,exchange,ticker,country
07061,Intesa Sanpaolo,BIT,ISP,IT
07071,Intuit,NASDAQ,INTU,US
07081,Intuitive Surgical,NASDAQ,ISRG,US
07091,Invesco,NYSE,IVZ,US
07101,Investment Kinnevik,STO,KINV-B,SE
07111,Investor,STO,INVE-B,SE
07121,Invitation Homes,NYSE,INVH,US
07131,IQVIA Holdings,NYSE,IQV,US
07141,Iron Mountain,NYSE,IRM,US
07151,Isetan Mitsukoshi,TSE,3099,JP
07161,ISU Specialty Chemical,KRX,078930,KR
07171,Isuzu Motors,TSE,7202,JP
07181,Itochu,TSE,8001,JP
07191,ITV,LSE,ITV,GB
07201,J. Front Retailing,TSE,3086,JP
07211,J.B. Hunt,NASDAQ,JBHT,US
07221,Jabil,NYSE,JBL,US
07231,Jack Henry & Associates,NASDAQ,JKHY,US
07241,Jacobs Solutions,NYSE,J,US
07251,Japan Airlines,TSE,9201,JP
07261,Japan Exchange,TSE,8697,JP
07271,Japan Post,TSE,6178,JP
07281,Japan Post Bank,TSE,7182,JP
07291,Japan Post Holdings,TSE,6178,JP
07301,Japan Tobacco,TSE,2914,JP
07311,JB Financial,KRX,175330,KR
07321,JD Health,HKEX,6618,CN
07331,JD.com,NASDAQ,JD,CN
07341,JFE Holdings,TSE,5411,JP
07351,JGC Holdings,TSE,1963,JP
07361,Jiangsu Hengrui Pharmaceuticals,SHSE,600276,CN
07371,Johnson & Johnson,NYSE,JNJ,US
07381,Johnson Controls,NYSE,JCI,US
07391,Johnson Matthey,LSE,JMAT,GB
07401,JPMorgan Chase & Co,NYSE,JPM,US
07411,JTEKT,TSE,6473,JP
07421,Julius Baer,SWX,BAER,CH
07431,Juniper Networks,NYSE,JNPR,US
07441,Kajima,TSE,1812,JP
07451,Kakao,KRX,035720,KR
07461,KakaoBank,KRX,323410,KR
07471,KakaoPay,KRX,377300,KR
07481,Kangwon Land,KRX,035250,KR
07491,Kansai Electric Power,TSE,9503,JP
07501,Kao,TSE,4452,JP
07511,Kawasaki Heavy Industries,TSE,7012,JP
07521,Kawasaki Kisen Kaisha,TSE,9107,JP
07531,KB Financial,KRX,105560,KR
07541,KBC Groupe,EBR,KBC,BE
07551,KCC Corporation,KRX,002380,KR
07561,KDDI Corporation,TSE,9433,JP
07571,Keio,TSE,9008,JP
07581,Keisei Electric Railway,TSE,9009,JP
07591,Kellanova,NYSE,K,US
07601,Kenvue,NYSE,KVUE,US
07611,KEPCO,KRX,015760,KR
07621,KEPCO E&C,KRX,052690,KR
07631,KEPCO KPS,KRX,051600,KR
07641,Kering,EURONEXT,KER,FR
07651,Kerry,HKEX,0636,HK
07661,Keurig Dr Pepper,NASDAQ,KDP,US
07671,KeyCorp,NYSE,KEY,US
07681,Keyence,TSE,6861,JP
07691,Keysight Technologies,NYSE,KEYS,US
07701,KG Mobility,KRX,003620,KR
07711,Kia,KRX,000270,KR
07721,Kikkoman,TSE,2801,JP
07731,Kimberly-Clark,NYSE,KMB,US
07741,Kimco Realty,NYSE,KIM,US
07751,Kinder Morgan,NYSE,KMI,US
07761,Kingfisher,LSE,KGF,GB
07771,Kirin,TSE,2503,JP
07781,Kiwoom Securities,KRX,039490,KR
07791,KKR & Co,NYSE,KKR,US
07801,KLA Corporation,NASDAQ,KLAC,US
07811,Klepierre,EURONEXT,LI,FR
07821,Kobe Steel,TSE,5406,JP
07831,Kolmar Korea,KRX,161890,KR
07841,Kolon Industries,KRX,120110,KR
07851,Komatsu,TSE,6301,JP
07861,Konami,TSE,9766,JP
07871,Kone,HEL,KNEBV,FI
07881,Konica Minolta,TSE,4902,JP
07891,Koninklijke DSM,EURONEXT,DSM,NL
07901,Koninklijke KPN,EURONEXT,KPN,NL
07911,Koninklijke Philips,EURONEXT,PHIA,NL
07921,Korea Aerospace,KRX,047810,KR
07931,Korea Gas,KRX,036460,KR
07941,Korea Investment,KRX,071050,KR
07951,Korea Petrochemical,KRX,006650,KR
07961,Korea Zinc,KRX,010130,KR
07971,Korean Air,KRX,003490,KR
07981,KPN,EURONEXT,KPN,NL
07991,Kraft Heinz,NASDAQ,KHC,US
08001,Krafton,KRX,259960,KR
08011,Kroger,NYSE,KR,US
08021,KT,KRX,030200,KR
08031,KT&G,KRX,033780,KR
08041,Kubota,TSE,6326,JP
08051,Kuehne + Nagel,SWX,KNIN,CH
08061,Kumho Petrochemical,KRX,011780,KR
08071,Kumho Tire,KRX,073240,KR
08081,Kuraray,TSE,3405,JP
08091,Kweichow Moutai,SSE,600519,CN
08101,Kyocera,TSE,6971,JP
08111,Kyowa Hakko Kirin,TSE,4151,JP
08121,L'Oréal,EURONEXT,OR,FR
08131,L&F,KRX,066970,KR
08141,L3Harris Technologies,NYSE,LHX,US
08151,Labcorp Holdings,NYSE,LDX,US
08161,LafargeHolcim,SIX,HOLN,CH
08171,Lam Research,NASDAQ,LRCX,US
08181,Lamb Weston,NYSE,LW,US
08191,Land Securities,LSE,LAND,GB
08201,Las Vegas Sands,NYSE,LVS,US
08211,Lasertec,TSE,6920,JP
08221,Legal & General,LSE,LGEN,GB
08231,Legrand,EURONEXT,LR,FR
08241,Leidos Holdings,NYSE,LDOS,US
08251,Lennar,NYSE,LEN,US
08261,Lennox International,NYSE,LII,US
08271,Lenovo,HKEX,0992,HK
08281,Leonardo,BIT,LDO,IT
08291,LG,KRX,003550,KR
08301,LG Chem,KRX,051910,KR
08311,LG Display,KRX,034220,KR
08321,LG Electronics,KRX,066570,KR
08331,LG Energy Solution,KRX,373220,KR
08341,LG H&H,KRX,051900,KR
08351,LG Innotek,KRX,011070,KR
08361,LG Uplus,KRX,032640,KR
08371,Li Auto,HKEX,2015,HK
08381,Li-Ning,HKEX,2331,HK
08391,Liberty Formula One,NASDAQ,FWONA,US
08401,LIG Nex1,KRX,079550,KR
08411,Eli Lilly & Co,NYSE,LLY,US
08421,Linde,NYSE,LIN,US
08431,Lindt & Sprüngli Reg,SIX,LISN,CH
08441,Link REIT,HKEX,0823,HK
08451,Live Nation Entertainment,NYSE,LYV,US
08461,LKQ Corporation,NASDAQ,LKQ,US
08471,Lloyds Banking,LSE,LLOY,GB
08481,Loblaw,TSX,L,CA
08491,Lockheed Martin,NYSE,LMT,US
08501,Loews Corporation,NYSE,L,US
08511,Logitech,SIX,LOGN,CH
08521,London Stock Exchange,LSE,LSEG,GB
08531,Longfor Properties,HKEX,0960,HK
08541,LONGi Green Energy Technology,SSE,601012,CN
08551,Lonza,SIX,LONN,CH
08561,Lotte,KRX,004990,KR
08571,Lotte Chemical,KRX,011170,KR
08581,Lotte Chilsung,KRX,005300,KR
08591,Lotte Fine Chemical,KRX,004000,KR
08601,Lotte Shopping,KRX,023530,KR
08611,Lotte Wellfood,KRX,280360,KR
08621,Lowe's,NYSE,LOW,US
08631,LPL Financial Holdings,NASDAQ,LPLA,US
08641,LS Electric,KRX,010120,KR
08651,Lululemon Athletica,NASDAQ,LULU,US
